name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
月藍傳奇remake古文明之謎,2024-02-11,2607,19.99,65028.0,40.43827237929116,96,indie,rmasia,"天使蛋糕,攸藍,牙籤,黃金,咕咕咕,鎧特",2391680
cum queens 🔞💦,2024-02-10,10518,9.99,64931.0,1.5889476459175789,67,indie,banzaiproject,banzaiproject,2711320
mothers and daughters,2024-01-02,7578,9.99,64494.0,4.364727003460155,67,indie,spin256,spin256,2508400
zero division,2024-07-11,6099,12.99,64472.0,7.677055210096512,88,indie,astrolabe games,robot cat limited,2181950
lapidary: jewel craft simulator,2024-03-25,9702,7.99,64395.0,4.00446009890238,82,indie,think & feel,think & feel,2539820
preserve,2024-08-08,6779,12.49,64320.0,5.1397419833615166,95,indie,grindstone,bitmap galaxy,2109270
voidbound,2024-05-24,3945,19.99,64291.0,4.450637928804644,93,indie,shady corner games,cursedatelier,2500710
witch and lilies,2024-05-23,3338,24.99,64035.0,13.370290768841915,45,indie,stromatosoft inc.,"stromatosoft inc.,株式会社タストα",2525810
挂姬恶魔 idle devils,2024-01-30,23630,3.99,63683.0,76.24068923464054,80,indie,"gocore,npc entertainment",gocore,2226700
der königsruf,2024-05-05,710,0.0,63264.0,26.27006411419708,57,indie,starlight games,starlight games,2916840
tradesman: deal to dealer,2024-06-18,23503,2.99,63246.0,10.285109683855875,0,indie,azamatika,azamatika,2555430
exotica: petshop simulator,2024-02-06,10381,12.99,63223.0,9.639862476774535,84,indie,konrul game,konrul game,2138580
kamaeru: a frog refuge,2024-06-08,3805,19.99,62891.0,5.384590955417545,88,indie,armor games studios,humble reeds,1978150
"yeah! you want ""those games,"" right? so here you go! now, let's see you clear them! 2",2024-07-17,6994,9.99,62883.0,1.7390408856523605,81,indie,d3publisher,monkeycraft co. ltd.,2744230
the quintessential quintuplets - five memories spent with you,2024-05-23,2155,34.99,62867.0,11.95180978697573,97,aa,"spike chunsoft co., ltd.",mages. inc.,2507620
lurkbait twitch fishing,2024-02-21,9946,7.0,62659.0,97.5255994143152,97,indie,blamcam interactive,blamcam interactive,2767520
athenian rhapsody,2024-05-14,5384,14.99,62520.0,7.173748703426827,91,indie,"top hat studios, inc.",nico papalia,1671720
astro looter: survivor,2024-07-15,9505,6.99,62500.0,1.4977793859228246,80,indie,soda game studio,soda game studio,2871930
writer's rush,2024-01-22,12123,5.99,62445.0,2.289644395339992,0,indie,frogstorm,frogstorm,2745800
